City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,puerto ayacucho,5.6639,-67.6236,23.05,96,97,0.7,VE,1688880863
163,lebu,-37.6167,-73.65,8.99,79,94,1.3,CL,1688880864
164,chonchi,-42.6128,-73.8092,6.56,90,100,2.93,CL,1688880865
165,rongelap,11.1635,166.8941,28.18,81,98,7.91,MH,1688880867
166,afaahiti,-17.75,-149.2833,25.93,83,51,9.82,PF,1688880868
167,karratha,-20.7377,116.8463,25.27,25,3,6.43,AU,1688880869
168,goz beida,13.95,20.55,27.57,55,89,2.56,TD,1688880870
169,beidaihehaibin,39.8222,119.5181,26.28,76,16,5.26,CN,1688880872
170,bereket,39.2446,55.5154,39.91,9,0,12.41,TM,1688880874
171,nuuk,64.1835,-51.7216,7.34,81,100,1.54,GL,1688880875
172,olinda,-8.0089,-34.8553,23.85,100,75,1.54,BR,1688880876
173,merritt,50.1123,-120.7942,18.76,67,28,1.35,CA,1688880848
174,port macquarie,-31.4333,152.9167,21.61,48,0,3.67,AU,1688880878
175,banda aceh,5.5577,95.3222,28.47,74,93,5.82,ID,1688880879
176,masbate,12.3667,123.6167,30.33,64,99,1.46,PH,1688880881
177,undurkhaan,47.3194,110.6556,26.4,38,28,1.27,MN,1688880882
178,koronowo,53.3137,17.937,19.61,74,29,2.29,PL,1688880883
179,vila do maio,15.1333,-23.2167,25.44,84,78,6.03,CV,1688880884
180,berezovyy,51.6667,135.7,24.43,75,96,1.86,RU,1688880885
181,aykhal,66.0,111.5,26.42,30,31,8.3,RU,1688880888
182,trondheim,63.4305,10.3951,16.05,90,100,1.85,NO,1688880298
183,ancud,-41.8697,-73.8203,7.95,82,96,4.97,CL,1688880890
184,mana,5.6592,-53.7767,24.93,88,56,2.03,GF,1688880891
185,praia da vitoria,38.7333,-27.0667,19.86,88,75,2.64,PT,1688880893
186,san patricio,28.017,-97.5169,28.94,85,0,5.51,US,1688880894
187,biloela,-24.4167,150.5,21.88,24,5,5.3,AU,1688880896
188,al qadarif,14.0349,35.3834,25.25,65,100,5.85,SD,1688880897
189,abadiania,-16.2042,-48.7069,14.51,50,3,0.72,BR,1688880898
190,blairgowrie,56.5916,-3.3405,14.57,96,100,2.68,GB,1688880899
191,santa terezinha,-29.9002,-50.0904,15.67,88,69,3.32,BR,1688880900
192,shamkhal,43.0596,47.3373,30.01,51,71,4.51,RU,1688880902
193,anadyr,64.75,177.4833,14.28,58,40,3.0,RU,1688880903
194,iron river,46.0927,-88.6423,12.53,95,17,1.41,US,1688880904
195,hailar,49.2,119.7,20.72,82,100,5.34,CN,1688880906
196,illizi,26.4833,8.4667,25.89,19,0,5.06,DZ,1688880907
197,luwuk,-0.9516,122.7875,28.92,68,98,4.21,ID,1688880908
198,kavaratti,10.5669,72.642,28.25,75,100,7.6,IN,1688880909
199,oliver,49.1831,-119.5524,27.8,50,59,0.51,CA,1688880910
200,vobarno,45.6401,10.5035,24.33,69,1,0.93,IT,1688880912
201,doma,8.3833,8.35,23.02,96,99,1.4,NG,1688880913
202,an nuhud,12.7,28.4333,26.86,65,46,5.41,SD,1688880914
203,aasiaat,68.7098,-52.8699,4.48,92,100,1.6,GL,1688880916
204,saryozek,44.3583,77.9753,27.27,30,21,4.24,KZ,1688880918
205,timbuktu,16.7735,-3.0074,30.87,46,7,6.31,ML,1688880919
206,peace river,56.2501,-117.286,20.17,77,20,3.09,CA,1688880921
207,luderitz,-26.6481,15.1594,11.19,71,0,7.49,NA,1688880923
208,solleftea,63.1667,17.2667,15.92,70,88,1.16,SE,1688880924
209,usinsk,65.9939,57.5281,11.71,70,99,5.1,RU,1688880925
210,polyarnyy,69.1989,33.4478,6.99,71,100,4.67,RU,1688880926
211,port mathurin,-19.6833,63.4167,23.07,76,44,11.43,MU,1688880927
212,ust-nera,64.5667,143.2,7.43,83,100,3.67,RU,1688880929
213,north myrtle beach,33.816,-78.68,26.03,93,0,0.0,US,1688880766
214,saint-pierre,-21.3393,55.4781,24.2,69,0,10.8,RE,1688880931
215,jiutai,44.1525,125.8328,26.19,60,84,3.1,CN,1688880932
216,badiyah,22.45,58.8,36.18,31,100,2.89,OM,1688880933
217,daromehar,24.7946,68.1805,32.48,62,97,5.75,PK,1688880934
218,monrovia,6.3005,-10.7969,24.87,89,100,2.1,LR,1688880935
219,nouadhibou,20.931,-17.0347,20.99,83,4,7.2,MR,1688880937
220,crane,31.3974,-102.3501,28.99,43,1,6.32,US,1688880938
221,uturoa,-16.7333,-151.4333,27.0,81,7,9.37,PF,1688880939
222,sablayan,12.8346,120.769,29.51,69,98,2.53,PH,1688880940
223,scottburgh,-30.2867,30.7532,15.04,79,100,7.74,ZA,1688880942
224,brush,40.2589,-103.6238,14.57,100,75,3.89,US,1688880645
225,jumla,29.2747,82.1838,24.6,64,20,2.81,NP,1688880945
226,balpyk bi,44.8947,78.2083,30.33,26,33,4.04,KZ,1688880946
227,pohang,36.0322,129.365,30.5,66,100,3.72,KR,1688880947
228,san pedro pochutla,15.7333,-96.4667,24.28,89,98,1.7,MX,1688880948
229,pasuquin,18.3328,120.6177,30.97,70,40,2.57,PH,1688880949
230,dalnerechensk,45.9339,133.7225,29.87,50,23,4.83,RU,1688880950
231,bikenibeu village,1.3673,173.1241,24.98,94,100,1.03,KI,1688880951
232,kars,40.602,43.095,15.25,82,75,2.57,TR,1688880953
233,coquimbo,-29.9533,-71.3436,9.85,87,0,2.06,CL,1688880796
234,nadym,65.5333,72.5167,16.13,52,99,3.07,RU,1688880955
235,almacelles,41.7322,0.4372,23.66,68,0,1.03,ES,1688880957
236,kadhan,24.481,68.9859,33.23,60,55,5.65,PK,1688880958
237,tsiombe,-25.3,45.4833,23.04,51,3,3.62,MG,1688880959
238,songea,-10.6833,35.65,13.64,77,20,1.03,TZ,1688880961
239,nambucca heads,-30.65,153.0,21.67,43,0,2.59,AU,1688880962
240,twon-brass,4.3151,6.2418,24.35,90,100,3.89,NG,1688880963
241,arrifes,37.7667,-25.7,16.14,82,40,1.54,PT,1688880964
242,kurchatov,51.6601,35.6521,18.23,90,100,7.88,RU,1688880966
243,alpena,45.0617,-83.4327,15.62,99,20,1.54,US,1688880967
244,xilin hot,43.9667,116.0333,24.4,43,43,5.3,CN,1688880968
245,kapa'a,22.0752,-159.319,27.99,77,40,8.23,US,1688880969
246,kalmunai,7.4167,81.8167,32.46,53,72,2.75,LK,1688880971
247,lata,40.1629,-8.3327,13.93,97,7,1.31,PT,1688880972
248,lusambo,-4.9667,23.45,21.52,42,5,0.81,CD,1688880974
249,sorada,19.75,84.4333,35.65,47,94,1.58,IN,1688880975
250,raposa,-6.5167,-44.1833,19.5,79,31,1.67,BR,1688880976
